City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
80,Bom Jesus,BR,87.01,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
93,Wewak,PG,77.43,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
94,Kathu,TH,78.62,clear sky,7.9178,98.3332,Novotel Phuket Resort
97,Karaton,ID,78.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
98,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
99,Weligama,LK,75.33,scattered clouds,5.9667,80.4167,Weligama Bay Resort
102,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
103,Grand Gaube,MU,84.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
104,Port Alfred,ZA,78.89,clear sky,-33.5906,26.891,The Halyards Hotel
105,Esmeraldas,BR,86.11,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
108,Mahebourg,MU,84.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Carnarvon,AU,87.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
115,Poum,NC,80.22,scattered clouds,-20.2333,164.0167,Gîte kajeon
117,Sarangani,PH,81.64,overcast clouds,5.4033,125.4636,Ballistic Islet
122,General Roca,AR,77.4,scattered clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
124,Prainha,BR,89.51,overcast clouds,-1.8,-53.48,Casa Rocha
125,Guntur,IN,76.89,clear sky,16.3,80.45,Hotel Murugan Residency
126,Necochea,AR,76.03,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
128,Unai,BR,85.01,few clouds,-16.3575,-46.9061,Hotel Regente
130,Saint-Philippe,RE,87.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
131,Broken Hill,AU,78.51,light rain,-31.95,141.4333,Royal Exchange Hotel
132,Faanui,PF,79.75,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Tarauaca,BR,80.98,overcast clouds,-8.1614,-70.7656,Flat Temporada
135,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
